"Variable / Field Name" "Form Name" "CTCC Name" "Section Header" "Field Type" "Field Label" "Choices, Calculations, OR Slider Labels" "Field Note" "Text Validation Type OR Show Slider Number"
Instructions to patients (and caregiver): Over the past week, have you felt indifferent to doing activities or being with people? [If yes, examiner asks patient or caregiver to elaborate and probes for information.]" "0, 0 (Normal: No apathy) | 1, 1 (Slight: Apathy appreciated by patient and/or caregiver, but no interference with daily activities and social interactions) | 2, 2 (Mild: Apathy interferes with isolated activities and social interactions) | 3, 3 (Moderate: Apathy interferes with most activities and social interactions) | 4, 4 (Severe: Passive and withdrawn, complete loss of initiative.) | 000, (Unable To Rate)" NA NA
"10" "dopmndysregsyndsco" "mdsupdrs" "NP1DDS" "1.6 FEATURES OF DOPAMINE DYSREGULATION SYNDROME" "radio" "Instructions to examiner: Consider involvement in a variety of activities including atypical or
excessive gambling (e.g. casinos or lottery tickets), atypical or excessive sexual drive or interests (e.g., unusual interest in pornography, masturbation, sexual demands on partner), other repetitive activities (e.g. hobbies, dismantling objects, sorting or organizing), or taking extra non-prescribed medication for non-physical reasons (i.e., addictive behavior). Rate the impact of such abnormal activities/behaviors on the patient's personal life and on his family and social relations (including need to borrow money or other financial difficulties like withdrawal of credit cards, major family conflicts, lost time from work, or missed meals or sleep because of the activity).


Instructions to patients [and caregiver]: Over the past week, have you had unusually strong
urges that are hard to control? Do you feel driven to do or think about something and find it
hard to stop? [Give patient examples such as gambling, cleaning, using the computer, taking
extra medicine, obsessing about food or sex, all depending on the patients.]" "0, 0 (Normal: No problems present) | 1, 1 (Slight: Problems are present but usually do not cause any difficulties for the patient or family/caregiver) | 2, 2 (Mild: Problems are present and usually cause a few difficulties in the patient's personal and family life) | 3, 3 (Moderate: Problems are present and usually cause a lot of difficulties in the patient's personal and family life) | 4, 4 (Severe: Problems are present and preclude the patient's ability to carry out normal activities or social interactions or to maintain previous standards in personal and family life.) | 000, (Unable To Rate)" NA NA
"11" "mdsupdrsptntprknsnmedind" "mdsupdrs" "PDMEDYN" NA "yesno" "3a Is the patient on medication for treating the symptoms of Parkinson's Disease?" NA NA NA
"12" "ptclinstateprknsnm" "mdsupdrs" "PDSTATE" NA "radio" "3b If the patient is receiving medication for treating the symptoms of Parkinson's Disease, mark the patient's clinical state using the following definitions:" "0, OFF (Off is the typical functional state when patients have a poor response in spite of taking medications.) | 1, ON (On is the typical functional state when patients are receiving medication and have a good response)" NA NA
"13" "mdsupdrsptntuseldopaind" "mdsupdrs" "ONLDOPA" NA "yesno" "3c Is the patient on Levodopa?" NA NA NA
"14" "mdsupdrslstldopadosetm" "mdsupdrs" "LSTDSMIN" NA "text" "3.C1 If yes, minutes since last levodopa dose:" NA "Minute" "integer"
"15" "freeflowspeechscor" "mdsupdrs" "NP3SPCH" "3.1 SPEECH" "radio" "Instructions to examiner: Listen to the patient's free-flowing speech and engage in conversation if
necessary. Suggested topics: ask about the patient's work, hobbies, exercise, or how he got to the doctor's office. Evaluate volume, modulation (prosody) and clarity, including slurring, palilalia (repetition of syllables) and tachyphemia (rapid speech, running syllables together)." "0, 0 (Normal: No speech problems) | 1, 1 (Slight: Loss of modulation, diction or volume, but still all words easy to understand) | 2, 2 (Mild: Loss of modulation, diction, or volume, with a few words unclear, but the overall sentences easy to follow) | 3, 3 (Moderate: Speech is difficult to understand to the point that some, but not most, sentences are poorly understood) | 4, 4 (Severe: Most speech is difficult to understand or unintelligible) | 000, (Unable To Rate)" NA NA
"16" "mdsupdrsfacialexprscore" "mdsupdrs" "NP3FACXP" "3.2 FACIAL EXPRESSION" "radio" "Instructions to examiner: Observe the patient sitting at rest for 10 seconds, without talking and also while talking. Observe eye-blink frequency, masked facies or loss of facial expression, spontaneous smiling and parting of lips." "0, 0 (Normal: Normal facial expression) | 1, 1 (Slight: Minimal masked faces manifested only by decreased frequency of blinking) | 2, 2 (Mild: In addition to decreased eye-blink frequency, Masked faces present in the lower face as well, namely fewer movements around the mouth, such as less spontaneous smiling, but lips not parted) | 3, 3 (Moderate: Masked faces with lips parted some of the time when the mouth is at rest) | 4, 4 (Severe: Masked faces with lips parted most of the time when the mouth is at rest) | 000, (Unable To Rate)" NA NA
"17" "fingertppngrtehnds" "mdsupdrs" "NP3FTAPR" "3.4 FINGER TAPPING" "radio" "Right" "0, 0 (Normal: No problems) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.) | 000, (Unable To Rate)" NA NA
"18" "fingertppnglfthnds" "mdsupdrs" "NP3FTAPL" NA "radio" "Left" "0, 0 (Normal: No problems) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.) | 000, (Unable To Rate)" NA NA
"19" "mdsupdrsrtehndscore" "mdsupdrs" "NP3HMOVR" "3.5 HAND MOVEMENTS

Instructions to examiner: Test each hand separately. Demonstrate the task, but do not continue to perform the task while the patient is being tested. Instruct the patient to make a tight fist with the arm bent at the elbow so that the palm faces the examiner. Have the patient open the hand 10 times as fully AND as quickly as possible. If the patient fails to make a tight fist or to open the hand fully, remind him/her to do so. Rate each side separately, evaluating speed, amplitude, hesitations, halts and decrementing amplitude." "radio" "Right" "0, 0 (Normal: No problem) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"20" "mdsupdrslfthndscore" "mdsupdrs" "NP3HMOVL" NA "radio" "Left" "0, 0 (Normal: No problem) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"21" "prontsupnrthndmvmt" "mdsupdrs" "NP3PRSPR" "3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS

Instructions to examiner: Test each hand separately. Demonstrate the task, but do not continue to perform the task while the patient is being tested. Instruct the patient to extend the arm out in front of his/her body with the palms down; then to turn the palm up and down alternately 10 times as fast and as fully as possible. Rate each side separately, evaluating speed, amplitude, hesitations, halts and decrementing amplitude." "radio" "Right" "0, 0 (Normal: No problems) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"22" "prontsupinlfthndmvmntscor" "mdsupdrs" "NP3PRSPL" NA "radio" "Left" "0, 0 (Normal: No problems) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"23" "rtefttoetppngscore" "mdsupdrs" "NP3TTAPR" "3.7 TOE TAPPING

Instructions to examiner: Have the patient sit in a straight-backed chair with arms, both feet on the floor. Test each foot separately. Demonstrate the task, but do not continue to perform the task while the patient is being tested. Instruct the patient to place the heel on the ground in a comfortable position and then tap the toes 10 times as big and as fast as possible. Rate each side separately, evaluating speed, amplitude, hesitations, halts and decrementing amplitude." "radio" "Right" "0, 0 (Normal: No problem) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"24" "lftfttoetppngscore" "mdsupdrs" "NP3TTAPL" NA "radio" "Left" "0, 0 (Normal: No problem) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"25" "legagiltyrtelegsco" "mdsupdrs" "NP3LGAGR" "3.8 LEG AGILITY

Instructions to examiner: Have the patient sit in a straight-backed chair with arms. The patient should have both feet comfortably on the floor. Test each leg separately. Demonstrate the task, but do not continue to perform the task while the patient is being tested. Instruct the patient to place the foot on the ground in a comfortable position and then raise and stomp the foot on the ground 10 times as high and as fast as possible. Rate each side separately, evaluating speed, amplitude, hesitations, halts and decrementing amplitude." "radio" "Right" "0, 0 (Normal: No problems) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"26" "legagiltylftlegsco" "mdsupdrs" "NP3LGAGL" NA "radio" "Left" "0, 0 (Normal: No problems) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements) | 000, (Unable To Rate)" NA NA
"27" "arisingfrmchrscore" "mdsupdrs" "NP3RISNG" "3.9 ARISING FROM CHAIR
" "radio" "
Instructions to examiner: Have the patient sit in a straight-backed chair with arms, with both feet on the floor and sitting back in the chair (if the patient is not too short). Ask the patient to cross his/her arms across the chest and then to stand up. If the patient is not successful, repeat this attempt a maximum up to two more times. If still unsuccessful, allow the patient to move forward in the chair to arise with arms folded across the chest. Allow only one attempt in this situation. If unsuccessful, allow the patient to push off using his/her hands on the arms of the chair. Allow a maximum of three trials of pushing off. If still not successful, assist the patient to arise. After the patient stands up, observe the posture for item
3.13." "0, 0 (Normal: No problems. Able to arise quickly without hesitation) | 1, 1 (Slight: Arising is slower than normal, or may need more than one attempt, or may need to move forward in the chair to arise. No need to use the arms of the chair) | 2, 2 (Mild: Pushes self up from arms of chair without difficulty.) | 3, 3 (Moderate: Needs to push off, but tends to fall back or may have to try more than one time using arms of chair, but can get up without help.) | 4, 4 (Severe: Unable to arise without help.) | 000, (Unable To Rate)" NA NA
"28" "mdsupdrsgaitscore" "mdsupdrs" "NP3GAIT" "3.10 GAIT" "radio" "Instructions to examiner: Testing gait is best performed by having the patient walking away from and towards the examiner so that both right and left sides of the body can be easily observed simultaneously. The patient should walk at least 10 meters (30 feet), then turn around and return to the examiner. This item measures multiple behaviors: stride amplitude, stride speed, height of foot lift, heel strike during walking, turning, and arm swing, but not freezing. Assess also for \"freezing of gait\" (next item 3.11) while patient is walking. Observe posture for item 3.13." "0, 0 (Normal: No problems) | 1, 1 (Slight: Independent walking with minor gait impairment) | 2, 2 (Mild: Independent walking but with substantial gait impairment) | 3, 3 (Moderate: Requires an assistance device for safe walking (walking stick, walker) but not a person) | 4, 4 (Severe: Cannot walk at all or only with another person's assistance.) | 000, (Unable To Rate)" NA NA
"29" "mdsupdrsfreezinggaitscore" "mdsupdrs" "NP3FRZGT" "3.11 FREEZING OF GAIT" "radio" "Instructions to examiner: While assessing gait, also assess for the presence of any gait freezing episodes. Observe for start hesitation and  stuttering movements especially when turning and reaching the end of the task. To the extent that safety permits, patients may NOT use sensory tricks during the assessment." "0, 0 (Normal: No freezing) | 1, 1 (Slight: Freezes on starting, turning or walking through doorway with a single halt during any of these events, but then continues smoothly without freezing during straight walking) | 2, 2 (Mild: Freezes on starting, turning or walking through doorway with more than one halt during any of these activities, but continues smoothly without freezing during straight walking) | 3, 3 (Moderate: Freezes once during straight walking) | 4, 4 (Severe: Freezes multiple times during straight walking.) | 000, (Unable To Rate)" NA NA
"30" "mdsupdrsposturescore" "mdsupdrs" "NP3POSTR" "3.13 POSTURE" "radio" "Instructions to examiner: Posture is assessed with the patient standing erect after arising from a chair,
during walking, and while being tested for postural reflexes. If you notice poor posture, tell the patient
to stand up straight and see if the posture improves (see option 2 below). Rate the worst posture seen
in these three observation points. Observe for flexion and side-to-side leaning." "0, 0 (Normal: No problems) | 1, 1 (Slight: Not quite erect, but posture could be normal for older person) | 2, 2 (Mild: Definite flexion, scoliosis or leaning to one side, but patient can correct posture to normal posture when asked to do so) | 3, 3 (Moderate: Stooped posture, scoliosis or leaning to one side that cannot be corrected volitionally to a normal posture by the patient) | 4, 4 (Severe: Flexion, scoliosis or leaning with extreme abnormality of posture) | 000, (Unable To Rate)" NA NA
"31" "glblspontntymvmnts" "mdsupdrs" "NP3BRADY" "3.14 GLOBAL SPONTANEITY OF MOVEMENT (BODY BRADYKINESIA)" "radio" "Instructions to examiner: This global rating combines all observations on slowness, hesitancy, and small amplitude and poverty of movement in general, including a reduction of gesturing and of crossing the legs. This assessment is based on the examiner's global impression after observing for spontaneous gestures while sitting, and the nature of arising and walking." "0, 0 (Normal: No problems) | 1, 1 (Slight: Slight global slowness and poverty of spontaneous movements) | 2, 2 (Mild: Mild global slowness and poverty of spontaneous movements) | 3, 3 (Moderate: Moderate global slowness and poverty of spontaneous movements) | 4, 4 (Severe: Severe global slowness and poverty of spontaneous movements.) | 000, (Unable To Rate)" NA NA
"32" "postrltremorrthnds" "mdsupdrs" "NP3PTRMR" "3.15 POSTURAL TREMOR OF THE HANDS

Instructions to examiner: All tremor, including re-emergent rest tremor, that is present in this posture is to be included in this rating. Rate each hand separately. Rate the highest amplitude seen. Instruct the patient to stretch the arms out in front of the body with palms down. The wrist should be straight and the fingers comfortably separated so that they do not touch each other. Observe this posture for 10 seconds." "radio" "Right" "0, 0 (Normal: No tremor) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude) | 000, (Unable To Rate)" NA NA
"33" "postrltremrlfthnds" "mdsupdrs" "NP3PTRML" NA "radio" "Left" "0, 0 (Normal: No tremor) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude) | 000, (Unable To Rate)" NA NA
"34" "kinetictremrrthnds" "mdsupdrs" "NP3KTRMR" "3.16 KINETIC TREMOR OF THE HANDS

Instructions to examiner: This is tested by the finger-to-nose maneuver. With the arm starting from the outstretched position, have the patient perform at least three finger-to-nose maneuvers with each hand reaching as far as possible to touch the examiner's finger. The finger-to-nose maneuver should be performed slowly enough not to hide any tremor that could occur with very fast arm movements. Repeat with the other hand, rating each hand separately. The tremor can be present throughout the movement or as the tremor reaches either target (nose or finger). Rate the highest amplitude seen." "radio" "Right" "0, 0 (Normal: No tremor) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.) | 000, (Unable To Rate)" NA NA
"35" "kinetictremrlfthnd" "mdsupdrs" "NP3KTRML" NA "radio" "Left" "0, 0 (Normal: No tremor) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.) | 000, (Unable To Rate)" NA NA
"36" "resttremorampruesc" "mdsupdrs" "NP3RTARU" "3.17 REST TREMOR AMPLITUDE

Instructions to examiner: This and the next item have been placed purposefully at the end of the examination to allow the rater to gather observations on rest tremor that may appear at any time during the exam, including when quietly sitting, during walking and during activities when some body parts are moving but others are at rest. Score the maximum amplitude that is seen at any time as the final score. Rate only the amplitude and not the persistence or the intermittency of the tremor. As part of this rating, the patient should sit quietly in a chair with the hands placed on the arms of the chair (not in the lap) and the feet comfortably supported on the floor for 10 seconds with no other directives. Rest tremor is assessed separately for all four limbs and also for the lip/jaw. Rate only the
maximum amplitude that is seen at any time as the final rating." "radio" "RUE" "0, 0 (Normal: No tremor) | 1, 1 (Slight.: < 1 cm in maximal amplitude) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude) | 4, 4 (Severe: > 10 cm in maximal amplitude) | 000, (Unable To Rate)" NA NA
"37" "resttremorampluesc" "mdsupdrs" "NP3RTALU" NA "radio" "LUE" "0, 0 (Normal: No tremor) | 1, 1 (Slight.: < 1 cm in maximal amplitude) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude) | 4, 4 (Severe: > 10 cm in maximal amplitude) | 000, (Unable To Rate)" NA NA
"38" "resttremoramprlesc" "mdsupdrs" "NP3RTARL" NA "radio" "RLE" "0, 0 (Normal: No tremor) | 1, 1 (Slight.: < 1 cm in maximal amplitude) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude) | 4, 4 (Severe: > 10 cm in maximal amplitude) | 000, (Unable To Rate)" NA NA
"39" "resttremorampllesc" "mdsupdrs" "NP3RTALL" NA "radio" "LLE" "0, 0 (Normal: No tremor) | 1, 1 (Slight.: < 1 cm in maximal amplitude) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude) | 4, 4 (Severe: > 10 cm in maximal amplitude) | 000, (Unable To Rate)" NA NA
"40" "resttremramplipjaw" "mdsupdrs" "NP3RTALJ" NA "radio" "Lip/Jaw" "0, 0 (Normal: No tremor) | 1, 1 (Slight.: < 1 cm in maximal amplitude) | 2, 2 (Mild: > 1 cm but < 2 cm in maximal amplitude) | 3, 3 (Moderate: > 2 cm but ? 3 cm in maximal amplitude.) | 4, 4 (Severe: > 3 cm in maximal amplitude) | 000, (Unable To Rate)" NA NA
"41" "constncyresttremrs" "mdsupdrs" "NP3RTCON" "3.18 CONSTANCY OF REST TREMOR" "radio" "Instructions to examiner: This item receives one rating for all rest tremor and focuses on the constancy of rest tremor during the examination period when different body parts are variously at rest. It is rated purposefully at the end of the examination so that several minutes of information can be coalesced into the rating." "0, 0 (Normal: No tremor) | 1, 1 (Slight: Tremor at rest is present less than 25 percent of the entire examination period) | 2, 2 (Mild: Tremor at rest is present 26-50percent of the entire examination period) | 3, 3 (Moderate: Tremor at rest is present 51-75 percent of the entire examination period) | 4, 4 (Severe: Tremor at rest is present greater than 75 percent of the entire examination period) | 000, (Unable To Rate)" NA NA
"42" "dyskchreadystnaprs" "mdsupdrs" "DYSKPRES" "DYSKINESIA IMPACT ON PART III RATINGS" "yesno" "A. Were dyskinesias (chorea or dystonia) present during examination?" NA NA NA
"43" "mvmntintrfrncescor" "mdsupdrs" "DYSKIRAT" NA "yesno" "B. If yes, did these movements interfere with your ratings?" NA NA NA
